Name,Platform,Critic_Score,User_Score
Personal Trainer: Cooking,DS,8.4,
Enter the Matrix,PS2,7.2,
Assassin's Creed Odyssey,PS4,9.5,5.9
Fallout: New Vegas,PS3,8.2,
Sonic Heroes,PS2,6.6,
Club Penguin: Elite Penguin Force,DS,7,
FIFA Soccer 08,PS2,8.7,
FIFA 18,XOne,8,3
Spider-Man,PS,,
Need for Speed III: Hot Pursuit,PS,8,
The Elder Scrolls IV: Oblivion,PS3,9.3,
Star Wars Episode I Racer,N64,8.7,
Tekken 6,PS3,7.9,
Yoshi,GB,,
Resident Evil 6,PS3,7.9,
Tom Clancy's Ghost Recon Wildlands,PS4,7,
NBA 2K13,X360,8.6,
Titanfall,XOne,8.9,6.7
Mario Party 9,Wii,6.5,
Mass Effect 2,X360,9.5,8.9
The Legend of Zelda: Majora's Mask 3D,3DS,9,8.9
Madden NFL 2002,PS2,9.2,
World Class Track Meet,NES,,
LEGO Batman: The Videogame,Wii,7.3,
Saints Row 2,X360,7.9,
Donkey Kong,GB,,
The Sims: Vacation,PC,8,
Call of Duty: Ghosts,XOne,7.5,4.3
LEGO Batman: The Videogame,DS,7.8,
Borderlands 2,X360,9,
New Super Luigi U,WiiU,7.8,8
Kung Fu Panda,X360,7.5,
Mass Effect 3,X360,9.5,
Rhythm Heaven,DS,8.5,
Metal Gear Solid V: The Phantom Pain,PS4,9.3,8.2
Rayman,PS,7,
Tom Clancy's Splinter Cell,XB,9.3,9.1
Mike Tyson's Punch-Out!!,NES,,
Professor Layton and the Unwound Future,DS,8.4,
WWE SmackDown! Shut Your Mouth,PS2,8.2,
Disney Epic Mickey,Wii,7,
Killzone 2,PS3,9.1,9.3
1-2-Switch,NS,5.7,
Crysis,PC,9.2,8.5
DayZ,PC,,
Fable,XB,8.6,
Gears of War 3,X360,9.1,
Heavy Rain,PS3,8.8,8.6
Kinect Sports,X360,7.4,
MotorStorm,PS3,8.2,
Sonic and the Secret Rings,Wii,6.7,
Sonic Rush,DS,7.8,
Space Engineers,PC,,
